"ArchivePath","Source","MB"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\baseline.response.txt","0.005"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\memory.response.txt","0.005"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-ticket-table\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\baseline.response.txt","0.004"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\memory.response.txt","0.004"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-tiered-pricing\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\baseline.response.txt","0.004"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\memory.response.txt","0.005"
"small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-230526-220\compute-weighted-average\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\summary.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\summary.csv","0.007"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-average-speed\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-discount-tax\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-inventory-available\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-linear-equation\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-printer-rate\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-probability-without-replacement\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ratio-mixture\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-schedule-finish\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-subscription-total\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\baseline.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\memory.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\memory.prompt.txt","0.001"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\memory.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\memory.response.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\retrieved_memories.csv","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-ticket-table\retrieved_memories.csv","0.002"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-tiered-pricing\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-tiered-pricing\baseline.prompt.txt","0"
"small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-tiered-pricing\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\tiny-memory-20260603-231611-383\compute-tiered-pricing\baseline.response.txt","0"
